Company,Stage,Dealflow
Flight.VC Syndicate,Seed,High
MyAsiaVC,Seed,High
New Stack Ventures,Seed,High
Rob Ness,Seed,High
Unpopular Ventures,Seed,High
Mana Ventures,Seed,High
Riverside Ventures,Seed,High
Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High
Better Capital,Pre-Seed,High
Unwritten Capital,Seed,High
SCVC,Seed,High
Gold Dragon Ventures,Seed,High
Climate Capital,Seed,High
DVC,Seed,High
SuperAngel.Fund,Pre-Seed,High
Austin Walker || Rhone VC,Other,High
Reinforced Ventures,Seed,High
Red Beard Ventures,Seed,High
Allied Venture Partners,Seed,High
Palumni VC,Seed,High
Exitfund Ventures,Seed,High
Umami Capital,Seed,High
Ventioneers,Other,High
Climate Capital Syndicate,Seed,High
Cool Climate Collective,Seed,High
Revere Partners,Series A,High
Engineering Leaders Community Angels,Seed,High
MAV Web3 syndicate,Seed,High
Syntax Ventures,Seed,High
HyperGuap,Pre-Seed,High
Jolt VC,Seed,High
2022 Ventures - Top Tier Early Stage Deals,Seed+,High
Fundomo,Series A,High
Builders Capital,Seed,High
Duro Ventures,Seed,Medium
Zach Coelius,Medium,Medium
Wild Ventures,Seed,Medium
Suman Talukdar,Medium,Medium
Good News Ventures,Seed,Medium
Necessary Ventures,Medium,Medium
Recursive Syndicate,Seed,Medium
Companyon Ventures,Medium,Medium
SaaSholic,Seed,Medium
Founders First,Medium,Medium
Everywhere Ventures,Series A,Medium
Nathan Doctor,Medium,Medium
Matt Slater (Stateless Ventures),Seed,Medium
WV,Medium,Medium
Darkmode Ventures,Seed+,Medium
Chaos Ventures,Medium,Medium
Ride Wave Ventures,Seed,Medium
Socially Financed,Medium,Medium
Spacecadet,Seed,Medium
Rief Ventures,Medium,Medium
5 Eyes Ventures,Seed,Medium
Banana Capital,Medium,Medium
Shelter Island Ventures,Seed,Medium
MKT1 Capital,Medium,Medium
Altairian Collective,Seed,Medium
Munch.VC,Medium,Medium
Lightning ⚡️ Ventures,Seed,Medium
HF Scale,Medium,Medium
Focalpoint Partners,Seed,Medium
Mr. Wizard Ventures from Daniel Kagan,Medium,Medium
Dream Big Angels,Seed,Medium
DataPower Ventures,Medium,Medium
The Executive Venture Syndicate,Seed,Medium
Iaso Ventures,Medium,Medium
Shane Feldberg (feld ventures),Seed,Medium
Caravan Health Ventures,Medium,Medium
Juniper,Seed,Medium
JourneyOne Ventures,Medium,Medium
The Healthcare Syndicate,Seed,Medium
Giant Step Capital,Medium,Medium
The Syndicate by BANA,Seed+,Medium
SHORVC,Medium,Medium
Rendered VC,Seed,Medium
Studio Management,Medium,Medium
The Pitch,Seed,Medium
Tenon Ventures,Medium,Medium
PaperJet Ventures,Seed,Medium
Untapped Ventures,Medium,Medium
271.vc,Pre-Seed,Medium
Allen Bryant,Medium,Medium
Brinc,Seed+,Medium
Katha VC // Sahith Aula,Medium,Medium
Beyond Earth Technologies,Seed,Medium
Loyalty Ventures,Medium,Medium
Cobble Hill Ventures,Other,Medium
xxi,Medium,Medium
Shruti Gandhi,Seed,Low
Barney Pell,Medium,Low
Capital Factory,Series B,Low
Inovexus Ventures,Medium,Low
500 Global,Seed,Low
Ravi Belani,Medium,Low
Nelstone Ventures,Seed,Low
undefined Syndicate,Medium,Low
Pete Soderling,Seed+,Low
Jake Seid,Medium,Low
N49P,Pre-Seed,Low
Ankur Nagpal,Medium,Low
PIRQUE ΔHEΔD,Pre-Seed,Low
Fractal Venture Investments,Medium,Low
Wuri Ventures,Seed,Low
Frontierspace VC,Medium,Low
The MBA Fund,Pre-Seed,Low
The Nordic Web,Medium,Low
P1 Ventures,Series A,Low
Cabra VC,Medium,Low
Inuka Capital,Pre-Seed,Low
"Arka Venture Labs (Fund II) (India-US preseed fund, 38 investmen",Medium,Low
Amara.VC,Series A,Low
