Company,Stage,Dealflow
Flight.VC Syndicate,Seed,High
MyAsiaVC,Seed,High
Rob Ness,Seed,High
Unpopular Ventures,Seed,High
Mana Ventures,Seed,High
Riverside Ventures,Seed,High
Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High
Better Capital,Pre-Seed,High
Unwritten Capital,Seed,High
SCVC,Seed,High
Gold Dragon Ventures,Seed,High
Climate Capital,Seed,High
DVC,Seed,High
SuperAngel.Fund,Pre-Seed,High
Austin Walker || Rhone VC,Other,High
Reinforced Ventures,Seed,High
Red Beard Ventures,Seed,High
Allied Venture Partners,Seed,High
Palumni VC,Seed,High
Exitfund Ventures,Seed,High
Middle Cove Capital,Seed+,High
Umami Capital,Seed,High
Ventioneers,Other,High
Climate Capital Syndicate,Seed,High
Cool Climate Collective,Seed,High
Revere Partners,Series A,High
Engineering Leaders Community Angels,Seed,High
MAV Web3 syndicate,Seed,High
Syntax Ventures,Seed,High
HyperGuap,Pre-Seed,High
Jolt VC,Seed,High
2022 Ventures - Top Tier Early Stage Deals,Seed+,High
Fundomo,Series A,High
Builders Capital,Seed,High
Suman Talukdar,Seed,Medium
Good News Ventures,Seed,Medium
Recursive Syndicate,Seed,Medium
Companyon Ventures,Seed+,Medium
Founders First,Seed,Medium
Everywhere Ventures,Seed,Medium
Matt Slater (Stateless Ventures),Seed,Medium
WV,Seed,Medium
Harpoon Ventures,Series D,Medium
Darkmode Ventures,Seed,Medium
Chaos Ventures,Seed,Medium
Ride Wave Ventures,Seed,Medium
Socially Financed,Seed,Medium
Spacecadet,Seed,Medium
Rief Ventures,Seed,Medium
5 Eyes Ventures,Seed+,Medium
Xtripe Angels,Seed,Medium
Banana Capital,Seed,Medium
Shelter Island Ventures,Seed,Medium
MKT1 Capital,Seed,Medium
Munch.VC,Seed+,Medium
Lightning ⚡️ Ventures,Seed,Medium
HF Scale,Other,Medium
Australian Gulf Capital,Seed,Medium
Focalpoint Partners,Seed,Medium
Mr. Wizard Ventures from Daniel Kagan,Series B,Medium
DataPower Ventures,Seed,Medium
The Executive Venture Syndicate,Seed+,Medium
Iaso Ventures,Pre-Seed,Medium
Shane Feldberg,Pre-Seed,Medium
Caravan Health Ventures,Seed,Medium
Juniper,Pre-Seed,Medium
JourneyOne Ventures,Series A,Medium
The Healthcare Syndicate,Pre-Seed,Medium
Giant Step Capital,Series A,Medium
The Syndicate by BANA,Pre-Seed,Medium
SHORVC,Seed,Medium
Rendered VC,Series A,Medium
Studio Management,Pre-Seed,Medium
The Pitch,Pre-Seed,Medium
Tenon Ventures,Series A,Medium
PaperJet Ventures,Seed+,Medium
Untapped Ventures,Seed+,Medium
271.vc,Seed+,Medium
Banyan,Seed,Medium
Seneca,Seed,Medium
Allen Bryant,Seed+,Medium
Brinc,Series B,Medium
Katha VC // Sahith Aula,Seed,Medium
Beyond Earth Technologies,Pre-Seed,Medium
Cobble Hill Ventures,Series A,Medium
Duro Ventures,Seed,Low
Barney Pell,Seed,Low
Capital Factory,Pre-Seed,Low
Inovexus Ventures,Pre-Seed,Low
500 Global,Seed+,Low
Nelstone Ventures,Seed+,Low
undefined Syndicate,Seed,Low
Pete Soderling,Seed,Low
Jake Seid,Seed,Low
N49P,Seed,Low
Ankur Nagpal,Seed,Low
PIRQUE ΔHEΔD,Seed+,Low
Fractal Venture Investments,Seed,Low
SaaSholic,Seed,Low
Wuri Ventures,Pre-Seed,Low
Frontierspace VC,Seed,Low
The MBA Fund,Seed,Low
Benjamin Bryant's Access Fund,Seed,Low
The Nordic Web,Pre-Seed,Low
P1 Ventures,Seed,Low
Cabra VC,Seed,Low
Inuka Capital,Pre-Seed,Low
"Arka Venture Labs (Fund II) (India-US preseed fund, 38 investmen",Seed,Low
Amara.VC,Pre-Seed,Low
Not Boring,Seed+,Low
